"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\CameraEffects.cs", "C#", 78, 25, 16, 119
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\CustomCursor.cs", "C#", 11, 1, 2, 14
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E01\Enemy_01.cs", "C#", -117, -9, -10, -136
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E0\E0Attack.cs", "C#", 51, 6, 7, 64
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E0\Enemy0.cs", "C#", 160, 8, 13, 181
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E1\E1_Attack.cs", "C#", 51, 6, 7, 64
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E1\Enemy1.cs", "C#", 223, 25, 35, 283
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\EnemyNav.cs", "C#", 58, 16, 17, 91
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Globals.cs", "C#", 282, 22, 29, 333
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\InteractableGrids\InteractableGrids.cs", "C#", 54, 10, 27, 91
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletBehaviour\Bullet.cs", "C#", -2, 0, 0, -2
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\0\BulletBehaviour_0.cs", "C#", -44, 0, -3, -47
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\0\DefaultShoot.cs", "C#", -49, -3, -4, -56
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\2\Item2.cs", "C#", 108, 15, 10, 133
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\Default\BulletBehaviour_0.cs", "C#", 66, 0, 4, 70
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\Default\DefaultShoot.cs", "C#", 78, 6, 6, 90
