"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E01\Enemy_01.cs", "C#", 117, 9, 10, 136
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\Enemy.cs", "C#", 14, 0, 5, 19
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\EnemyNav.cs", "C#", 383, 16, 54, 453
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\GlobalTimer.cs", "C#", 34, 0, 3, 37
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Globals.cs", "C#", 25, 0, -2, 23
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\InteractableGrids\InteractableGrids.cs", "C#", 108, 0, 5, 113
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\0\BulletBehaviour_0.cs", "C#", 1, 0, 1, 2
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\BulletShoot\0\DefaultShoot.cs", "C#", 5, 0, 0, 5
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\ItemFactory.cs", "C#", -5, 0, 0, -5
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Map\ChunkGenerator.cs", "C#", 13, 0, 0, 13
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Map\ObjectSpawner.cs", "C#", 65, 7, 6, 78
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\PlayerResource\BlackResource.cs", "C#", 29, 0, 2, 31
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\PlayerResource\GrayResource.cs", "C#", -12, -2, -5, -19
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\PlayerResource\GreenResource.cs", "C#", 18, -2, -3, 13
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerController.cs", "C#", 6, 0, 0, 6
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerItemManager.cs", "C#", -1, 0, 0, -1
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Player\PlayerUI.cs", "C#", 40, 1, 6, 47
"Total", "-", 840, 29, 82, 951
